,Date,Rainfall,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Month,Year
23,2006-05-01,8.357754838709678,6.4,1.4988999999999997,2.952000000000001,6.5,3.8,5.9,6.3,6.7,2.65,1.7,5.2,1.719,8.7,8.72,13.54,16.8,3.8,9.6,1.8,6.1,7.5,2.3,9.6,7.8,3.6,1.9550000000000005,16.8,5.883399999999999,3.3718999999999983,5.9505999999999935,3.396399999999997,6.737300000000005,9.5315,2.107700000000001,4.791999999999998,5.178700000000005,7.9613999999999985,7.609299999999996,7.310999999999996,4.166000000000002,4.922099999999998,8.131499999999996,5,2006
24,2006-08-01,33.154683870967744,1.35,0.67,0.42,11.8,1.7,0.58,0.5,1.57,0.9,0.95,1.0,0.6935999999999999,3.7,0.15,7.3,9.9,3.93,2.87,0.68,1.47,1.9,0.7,0.95,0.29,2.55,0.56,9.64,7.224999999999989,2.723499999999995,6.500999999999988,3.295199999999996,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2006
25,2006-11-01,1.082126666666667,5.1,3.25,2.15,3.5,4.25,1.3,5.2,3.15,2.0,1.2,4.35,1.6347999999999996,6.1,1.0,8.4,14.2,5.2,4.8,3.22,4.23,6.15,2.45,3.45,1.69,3.65,1.4,9.55,7.356899999999997,1.9644000000000021,6.843999999999991,2.921299999999998,8.39730000000001,7.6431999999999904,1.665399999999999,3.2740000000000014,3.120699999999997,6.693500000000003,3.928500000000004,6.597999999999998,2.438200000000002,5.216400000000005,4.8192999999999975,11,2006
26,2007-01-01,0.001,5.0,1.1165000000000007,0.7100999999999995,5.616999999999999,4.087999999999997,3.7009999999999956,5.609800000000004,5.383900000000003,1.2063000000000006,1.8433000000000004,3.786499999999994,1.5728999999999997,7.95,3.266499999999998,9.8,16.85,6.242799999999992,5.675400000000008,1.8,4.15,4.087499999999995,2.35,3.2,7.1,3.903299999999993,2.237100000000002,10.281499999999992,5.883000000000002,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2007
27,2007-05-01,1.4523548387096772,6.35,0.2,2.65,12.15,4.8,3.8,4.9,5.65,2.05,1.63,7.8,2.5,6.1,7.0,12.05,12.3,8.0,8.97,1.15,4.05,5.15,1.8,3.15,6.05,6.3,1.5,11.8,6.661299999999994,3.7407000000000004,7.858399999999992,4.358999999999995,7.959300000000009,9.148599999999993,2.2022000000000004,4.311000000000002,4.972700000000004,10.870400000000007,14.463500000000003,9.500399999999999,4.798100000000002,4.675900000000001,8.448099999999997,5,2007
28,2007-08-01,18.88225806451613,4.92,1.85,1.1,9.85,3.25,0.9,1.94,3.9,1.5,1.1,3.24,0.9,5.65,1.0,7.558999999999994,12.94,3.8,6.38,1.5,5.15,0.9,2.15,1.95,1.3,2.4,1.3,12.1,8.4,2.723499999999995,6.500999999999988,3.295199999999996,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2007
29,2007-11-01,0.001,5.1,4.75,2.4,7.6,4.1,1.6,8.5,3.0,2.1,3.2,4.7,2.4,6.1,1.8,8.4,15.6,5.9,6.0,2.4,4.1,6.1,3.45,3.4,4.8,3.45,2.3,12.1,9.7,1.3705999999999998,6.51569999999999,2.976999999999997,8.025100000000004,7.79639999999999,3.759399999999997,5.511500000000008,3.6877999999999957,5.784000000000003,4.421400000000005,6.441700000000002,3.2026999999999974,5.257800000000004,8.198400000000003,11,2007
30,2008-01-01,0.001,5.3,2.6,0.6,5.7,4.0,5.0,4.0,3.5,2.35,1.65,3.95,1.6,5.3,4.45,6.75,12.1,7.55,5.77,1.3,5.1,4.75,1.5,2.7,6.9,3.65,2.3,9.9,4.8,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2008
31,2008-05-01,2.470967741935484,6.15,2.0,2.3,9.0,4.85,4.35,4.4,5.05,0.8,0.2,8.0,2.5,5.9,6.55,11.75,14.1,8.0,9.17,1.85,5.6,3.05,2.0,5.35,7.1,6.1,0.55,10.35,5.3,3.6049,6.754599999999991,3.6757999999999966,6.805500000000007,9.125599999999999,2.2732000000000006,5.255299999999998,5.199400000000006,9.6183,12.935800000000004,9.189499999999999,4.5445,5.0089,8.383899999999997,5,2008
32,2008-08-01,10.567741935483872,6.35,1.25,1.0,10.7,5.2,6.1,1.25,5.5,0.3,0.3,6.9,1.1,4.65,0.01,9.0,13.45,6.9,7.57,1.7,5.3,2.7,1.2,3.8,1.15,7.0,0.55,13.5,4.3,2.723499999999995,5.6187999999999905,3.291899999999996,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2008
33,2008-11-01,0.9,3.95,0.3,0.35,5.05,4.25,2.1,2.7,4.85,1.05,1.6,2.85,1.7,5.45,0.2,6.7,12.65,3.15,5.92,1.4,3.25,3.95,1.5,1.05,0.95,3.45,0.5,11.35,7.0,2.0914000000000024,6.843999999999991,2.921299999999998,8.690300000000013,7.6431999999999904,1.9326999999999979,3.306000000000002,3.1156999999999972,6.180500000000002,3.928500000000004,6.596799999999998,2.705800000000001,5.298400000000004,5.505899999999997,11,2008
34,2009-01-01,0.001,4.85,3.3,0.6,4.0,4.15,1.95,4.05,4.1,1.1,2.05,5.15,2.05,5.95,3.1,8.68,12.5,7.3,6.4,1.8,4.48,3.05,1.85,2.88,6.65,4.95,1.67,12.1,5.1,1.926899999999999,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2009
35,2009-05-01,0.7233451612903226,5.97,1.2,2.4,8.0,5.0,4.2753000000000005,4.75,6.2,2.79,1.5,6.85,2.17,6.82,6.25,11.28,13.8,7.5,7.22,1.89,5.7,4.8,1.68,8.85,6.65,6.95,2.1,12.6,5.92,4.0481000000000025,7.6961999999999895,4.808799999999997,8.894100000000014,9.148599999999993,2.4441000000000006,4.322400000000003,4.970200000000005,10.332499999999998,14.414600000000002,9.500399999999999,5.024099999999999,4.718000000000002,9.572699999999998,5,2009
36,2009-08-01,19.448474193548385,7.6,1.4,0.33,6.3,2.25,1.4,2.5,1.55,0.72,0.7,1.93,0.5,5.84,0.5584999999999994,3.7,14.1,3.75,8.49,1.35,2.3,2.3,1.16,2.7,0.82,3.92,0.3,12.863399999999992,6.233099999999995,2.723499999999995,6.500999999999988,3.295199999999996,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2009
37,2009-11-01,7.109673333333333,5.127900000000002,0.8,0.592,5.3,2.25,1.2,2.3,3.4,1.35,1.45,2.1,0.9,7.3,0.4,4.8,14.8,3.65,5.37,1.6,4.6,5.35,3.65,1.4,1.9,4.0,0.05,12.054999999999993,6.212100000000001,0.7,5.634399999999994,2.846899999999999,5.999200000000003,8.796699999999996,1.265100000000001,2.9170000000000034,3.1355999999999984,5.671300000000001,5.0536000000000065,4.498199999999998,1.6172,5.063500000000001,4.387899999999999,11,2009
38,2010-01-01,0.0202645161290322,5.275500000000007,4.410100000000005,0.4,8.0,3.5,0.5,3.45,5.1,1.8,2.6,2.5,2.1,5.85,3.829600000000001,7.2,14.2,3.8,4.75,1.15,4.2,3.2,2.3,3.591399999999999,3.2,2.9,0.5,10.34,8.2,2.0,6.953699999999998,4.350599999999997,9.299399999999999,9.553599999999996,4.3081999999999985,4.698600000000006,4.3453000000000035,10.869099999999998,13.677699999999998,7.638399999999986,5.111099999999998,4.854999999999997,11.409799999999994,1,2010
39,2010-05-01,0.173616129032258,4.55,7.8,2.3,5.4,7.31,4.25,5.1,10.4,3.2,2.4,5.8,3.7,6.9,8.72,13.54,15.2,8.35,7.35,2.7,3.4,5.4,2.1,4.45,11.0,6.55,2.0,11.820200000000009,17.2,4.016700000000003,8.188799999999988,5.059099999999998,10.16110000000001,10.288699999999995,4.489599999999997,4.136400000000004,5.254500000000005,11.321599999999997,15.849400000000013,9.562999999999995,5.562399999999997,5.059,9.9387,5,2010
40,2010-08-01,6.556296774193549,5.5,0.6,0.5762999999999999,7.05,3.2,0.3,2.85,3.1,2.2,0.5999000000000002,4.1,1.0369000000000006,5.5,0.9,6.8,15.1,1.6,6.6,2.3,3.2,1.2,2.45,1.4,2.1,2.3,0.9,12.405099999999997,6.7,1.2,5.727899999999994,3.7226999999999975,6.115900000000002,8.601199999999995,0.8905000000000003,2.8021000000000016,3.0009999999999986,6.182100000000002,11.149399999999998,4.277099999999997,1.8283999999999998,5.234200000000002,3.9787999999999992,8,2010
41,2010-11-01,1.6029733333333334,4.35,1.2,0.2,6.4,3.0,0.4,2.35,3.1,2.1,2.2,3.2,1.2,6.55,0.65,6.4,15.05,4.9,5.9,2.4,3.1,1.5,1.9,1.25,1.45,4.9,1.05,10.754900000000006,8.85,0.9,6.843999999999991,2.9426999999999977,7.62570000000001,7.6431999999999904,1.4304000000000001,3.1960000000000015,3.120699999999997,7.026500000000003,3.896900000000004,6.597999999999998,2.291200000000002,5.256800000000004,4.094999999999998,11,2010
42,2011-01-01,0.001,5.85,2.0,2.3,6.52,5.6,0.4,4.2,6.3,2.2,3.68,2.3,3.45,7.2,0.7,8.56,14.35,5.38,6.23,1.85,3.95,2.65,2.7,5.36,3.22,3.65,1.1,2.3,7.4,1.2,6.970399999999997,4.047599999999998,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2011
43,2011-05-01,0.0563225806451612,6.769900000000006,5.275800000000001,5.2,7.41,6.190200000000002,3.2,3.85,9.95,1.8,2.1,5.4,3.0852999999999953,7.45,7.45,9.574600000000006,20.18,8.25,6.95,2.05,2.15,6.27,1.65,4.4,3.85,4.85,0.4,11.2,6.9,4.29,7.730299999999992,5.204099999999999,10.2886,9.926699999999988,4.380399999999996,4.329900000000006,4.902600000000006,11.262400000000007,15.738600000000012,7.860399999999988,5.424899999999996,5.249999999999997,11.6974,5,2011
44,2011-08-01,14.39512258064516,6.0,1.15,0.7015999999999997,4.85,0.5,0.9,2.75,4.3,0.9,1.2,1.65,0.9423999999999999,6.2,0.6566999999999996,8.9,15.9,3.1,6.95,1.05,3.0,0.2,1.56,1.2,2.2,6.75,0.6,12.208899999999996,6.9,2.8294999999999955,7.9,3.2,6.115900000000002,8.847999999999999,0.8788000000000004,2.4693000000000023,3.068599999999999,5.6304,4.294000000000005,4.277099999999997,1.387799999999998,5.248700000000001,3.3469999999999986,8,2011
45,2011-11-01,0.001,5.85,3.1,1.45,4.85,0.65,2.15,4.1,3.52,1.35,1.9,2.45,1.2,5.3,1.95,9.15,15.65,3.45,6.45,1.1,3.1,1.68,1.35,2.65,1.3,4.4,0.9,13.027800000000004,8.9,1.0,7.15,3.2,8.025100000000004,7.79639999999999,3.759399999999997,5.511500000000008,3.6877999999999957,5.784000000000003,4.421400000000005,6.441700000000002,3.2026999999999974,5.257800000000004,8.198400000000003,11,2011
46,2012-01-01,0.001,7.9,4.95,0.98,6.15,1.15,6.45,4.85,3.69,2.1,2.45,2.65,2.35,6.15,3.9,11.9,15.4,4.9,6.1,2.9,4.9,3.35,2.25,4.8099000000000025,3.8,5.95,1.25,2.3,11.5,2.3,7.38,4.25,7.197700000000002,8.984500000000006,3.886800000000002,5.521300000000008,4.306300000000003,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2012
47,2012-05-01,0.001,5.8,5.015199999999998,2.4,6.9,4.2,6.3,5.099200000000003,8.4,1.9,2.3,7.1,2.811199999999997,6.7,7.533500000000001,11.554499999999992,17.1,6.1,7.2,2.3,6.1,6.4,2.45,4.1,7.2,5.396999999999999,2.9,16.1,17.5,4.8,7.737399999999993,4.8,8.104900000000002,9.082299999999996,3.9590000000000005,5.165300000000006,4.872100000000002,11.380999999999998,15.136700000000008,7.272199999999991,5.172000000000001,5.0036,11.6632,5,2012
48,2012-11-01,0.001,6.9,0.9,1.38,10.65,4.33,4.11,4.55,5.7,2.72,3.12,5.33,2.72,4.77,4.73,4.32,16.05,5.01,7.51,2.42,6.5,7.91,2.32,5.1,2.6,4.6029999999999935,3.15,16.33,11.1,1.960800000000001,5.42,3.15,7.75,6.53,3.82,7.11,4.7,5.784000000000003,4.421400000000005,6.441700000000002,3.2026999999999974,5.257800000000004,8.198400000000003,11,2012
49,2013-01-01,0.001,5.9,3.790099999999996,3.1,7.9,2.1,5.8,2.4,8.4,1.4,3.4,3.9,3.0,6.4,3.9,12.1,16.8,6.95,9.9,4.9,6.1,6.1,4.1,4.95,4.1,5.9,1.95,7.3,11.9,4.1,6.1,4.4,6.95,10.1,4.1,6.1,4.8,10.78309999999999,13.009299999999994,7.09019999999999,4.8556,4.315099999999998,11.426599999999993,1,2013
50,2013-05-01,0.0125612903225806,11.21,5.81,3.11,11.57,7.12,7.41,5.62,7.42,4.18,3.22,8.62,2.9318999999999975,9.21,8.52,7.32,19.86,7.351400000000002,7.68,2.9,6.42,6.11,3.29,7.17,8.12,4.9738,4.11,13.484299999999994,12.11,9.55,7.291999999999998,6.02,11.25,11.3,5.02,2.62,5.05,11.48,17.42,8.53,5.65,5.52,12.6,5,2013
