DateTime,Month,Rainfall
2023-02,2023-02-14 12:00:00,0.0
2023-03,2023-03-16 00:00:00,0.30774193548387097
2023-04,2023-04-15 12:00:00,1.2330166666666666
2023-05,2023-05-16 00:00:00,0.6275000000000001
2023-06,2023-06-15 12:00:00,2.85704
2023-07,2023-07-16 00:00:00,5.211141935483871
2023-08,2023-08-16 00:00:00,1.4483064516129032
2023-09,2023-09-15 12:00:00,5.7672566666666665
2023-10,2023-10-16 00:00:00,0.6066451612903226
2023-11,2023-11-15 12:00:00,1.0805333333333331
2023-12,2023-12-16 00:00:00,0.0
