station,Ane,Bhadalwadi,Bukum,Dhumalwadi,Dorlewadi,Jejuri,Junnar,Karanje,Kolwan,Lonawala,Loni (Ambegaon),Mulshi,Narayangaon,Narayanpur,Nimbgaon-Ketke,Otur,Pangre Sailar Basti,Parne,Patas,Pimpri (Kh) Malvasti,Pune,Rajgurnagar (Khed),Sakurde,Shivpur Khed,Undavri Kade Pathar,Wehle,Khutbhav_Pz,Mahalunge Padval_Pz,Pabal New,Kharabwadi,Shikrapur,Ausari Khurd-1,Kamatwadi-Walha,Kamshet,Kasurdi-1,Kolawade,Ale-1,Belhe-1,Kamunde,Khadki,Wagholi-1,Zendewadi-1,Baramati,Khutbhav_1,Parawadi,Kauthe_1,Khadakwasala_3
2012-05-01 00:00:00,5.8,,2.4,6.9,4.2,6.3,,8.4,1.9,2.3,7.1,,6.7,,,17.1,6.1,7.2,2.3,6.1,6.4,2.45,4.1,7.2,,2.9,16.1,17.5,4.8,,4.8,,,,,,,,,,,,,,,,
2012-11-01 00:00:00,6.9,0.9,1.38,10.65,4.33,4.11,4.55,5.7,2.72,3.12,5.33,2.72,4.77,4.73,4.32,16.05,5.01,7.51,2.42,6.5,7.91,2.32,5.1,2.6,,3.15,16.33,11.1,,5.42,3.15,7.75,6.53,3.82,7.11,4.7,,,,,,,,,,,
2013-01-01 00:00:00,5.9,,3.1,7.9,2.1,5.8,2.4,8.4,1.4,3.4,3.9,3,6.4,3.9,12.1,16.8,6.95,9.9,4.9,6.1,6.1,4.1,4.95,4.1,5.9,1.95,7.3,11.9,4.1,6.1,4.4,6.95,10.1,4.1,6.1,4.8,,,,,,,,,,,
2013-05-01 00:00:00,11.21,5.81,3.11,11.57,7.12,7.41,5.62,7.42,4.18,3.22,8.62,,9.21,8.52,7.32,19.86,,7.68,2.9,6.42,6.11,3.29,7.17,8.12,,4.11,,12.11,9.55,,6.02,11.25,11.3,5.02,2.62,5.05,11.48,17.42,8.53,5.65,5.52,12.6,,,,,
2013-08-01 00:00:00,,,,,3.85,6.9,2.2,5.15,0.95,,,,8.8,,,17.8,3.7,7.6,1.15,5.7,2.35,0.75,1.35,1.55,,,,7.9,3.5,,4.2,,,0.2,1.7,,9.7,17,,2.3,,2.75,,,,,
2013-11-01 00:00:00,3.5,1.6,0.5,,4.5,4.1,3.2,4.3,1.5,2.6,2.45,1.9,6.25,1.2,9.27,13.8,3.9,6.2,1.2,6.3,2.6,2.3,1.5,1.1,3.7,0.85,11.1,,1.8,3.5,2.1,,8.8,2.5,2.1,2,5.7,0.05,,2.9,,3.7,,,,,
2014-01-01 00:00:00,4.8,1.5,0.59,,4.45,3.43,4.1,4.8,2.41,1.55,3.9,1.64,6.31,2.81,13.54,13.7,3.65,5.66,1.85,6.25,2.85,1.2,2.45,7.35,1.46,4.34,10.4,15.8,,4.54,2.34,4.43,8.44,1.5,,4.33,,,,,,,,,,,
2014-05-01 00:00:00,,,1.33,3.93,4.85,3.43,,3.9,4.13,1.86,8.6,,5.62,0.6,,15.9,,6.33,1.15,4.46,3.25,1.15,5.75,6.75,2.8,4.1,10.1,11.38,,,4.9,10.1,9.8,3.2,,,9.54,11.33,,6.41,0.86,9.64,,,,,
2014-08-01 00:00:00,6.8,2.6,0.15,,3.6,2.8,1.2,1.5,0.7,0.01,3.7,,5.6,1.9,5.6,14.7,3.2,3.05,0.2,4.1,1.55,0.85,1.3,0.4,4.4,0.3,,3.6,4.2,2.15,2.9,,,0.01,0.9,,,0.3,,1.1,,2.4,,,,,
2014-11-01 00:00:00,9.54,1.93,0.3,7.84,3.93,0.73,3.11,3.31,1.13,1.85,3.5,1.84,6.73,0.48,13.52,12,2.83,2.89,1.34,5.43,4.8,1.35,1.65,0.94,2.5,2.1,4.48,3.39,3.68,8.4,2.33,10.1,,1.7,1.96,1.9,6.3,,,2.94,,,,,,,
2015-01-01 00:00:00,9.7,1.2,0.46,6,3.85,2.61,4.04,3.3,1.16,1.96,4.1,1.91,6.1,0.84,13.54,14.3,7.38,5.38,0.76,7.24,6.68,1.26,2.15,7.24,8,,9.04,7.3,3.9,5.61,3.51,10.3,,2,2.43,1.9,,8.04,,,,,,,,,
2015-05-01 00:00:00,8.2,2.3,1.8,10.4,5,6.9,3.75,6.1,3.46,3.2,4.87,3.5,7,8.7,11.9,14.8,6.9,5.77,1.1,5.7,4.58,0.75,6.3,7.9,8.77,2.8,12.9,4.7,6.6,4.55,0.88,,8.7,2.8,6.7,5.8,10.5,10.92,,3.9,6.7,,,,,,
2015-08-01 00:00:00,12.5,5.9,0.24,7.9,6.4,6.5,2.65,5.3,0.8,0.55,7.15,1.2,8.97,0.2,7.9,14.1,6.55,6.57,0.8,6.1,3.31,0.72,7.2,1.4,8.79,0.4,12.9,6.05,7,4.55,5.03,7.45,7,0.7,0.55,1.15,10.7,14.6,5.68,2.4,9.6,12.1,,,,,
2015-11-01 00:00:00,6.2,0.8,0.3,6.3,2.25,4.1,2.4,3,0.75,0.85,2.2,0.6,8.5,,10,14.6,2.35,4.37,0.65,6.05,1.85,0.95,0.85,0.15,3.2,,11.8,8,0.6,2.05,,3.7,11,0.7,1.3,1.4,6.85,13.3,7.25,0.8,,8.1,,,,,
2016-01-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.5,2.9,2.12,2.34,11.05,14.78,4.8,4.56,2.4,10.26,,,,,
2016-05-01 00:00:00,7.1,,11,12.82,6.92,6.7,4.8,6.82,2.68,2.42,6.05,,7.2,2,13.54,17.1,5.75,6.9,4.45,6.25,6.8,1.2,5.83,5.35,8.7,2.15,13.98,5.4,6.9,9.9,6.2,3.5,11.7,2.68,,,11.9,18.4,11.2,5.15,4.8,,,,,,
2016-08-01 00:00:00,3.17,3.69,,8.25,5.27,6,0.87,4.38,,0.78,1.15,,6.45,0.01,6.67,14.65,1.95,6.4,1.7,6.37,3.8,1.14,1.63,1.4,8.7,0.01,13.32,1.44,0.6,2.96,6.8,,9.72,0.49,0.4,1.2,4.5,11.83,,1.6,2.7,5.68,,,,,
2016-11-01 00:00:00,2.6,1.1,0.2,8.33,4.26,5.8,3.7,1.92,1.55,1.52,2.6,,7.37,0.2,6.62,13.4,6,5.12,1.74,5.35,3.15,1.84,1.75,2.07,6.75,0.52,10.95,7.84,2.05,2.95,2.25,,10.6,1.6,,1.93,6.1,8.2,6.6,3.2,2.6,12,1.16,,,,
2017-01-01 00:00:00,3.92,2.7,1.1,11.1,4.76,6.4,4.35,3.23,2.2,2.05,3.68,,7.68,5.4,11.95,13.55,6.2,5.71,1.49,5.45,6.15,1.18,4.65,7.85,6.25,1.03,11.4,5.6,4.22,5,3.3,,12.2,1.9,2.6,2.6,12.74,11.66,10.8,4.15,2.66,14.16,7.36,,,,
2017-05-01 00:00:00,7.13,7.79,5.72,13.25,6.4,6.95,4,4.7,3.13,1.97,7.1,,7.35,6.6,13.54,15.85,7.28,5.97,1.95,6.35,3.2,1.35,4.95,8.05,7.12,2,12.2,4.7,7.63,9.9,5.05,12.2,12.45,1.88,3.7,5.68,12.28,13.25,11,5.5,4.1,8.65,3.12,,,,
2017-08-01 00:00:00,3.2,1.3,0.8,2.65,0.01,0.01,4.9,4.1,0.01,0.01,2.15,,6.1,0.01,8.9,9.4,4.9,6.1,1.75,7.1,2.63,,4.1,0.01,5.1,0.01,5.1,,1.8,6.5,2.56,4.8,7.8,0.01,0.01,1.1,6.1,11.5,2.65,2.1,2,7.3,4.8,,,,
2017-11-01 00:00:00,4.5,5.9,0.3,5.7,3,0.5,4.9,2.1,2.7,0.35,1.7,0.01,6.5,0.01,5.7,8.1,4.1,3.2,1.17,3.7,3.5,2.2,0.7,1.4,4,0.01,8.7,,1.2,2.1,0.9,0.01,8.7,0.3,0.01,1.56,6.1,10.1,3.8,1.6,0.8,1.7,3.7,,,,
2018-01-01 00:00:00,5.2,4.1,3.15,4.8,3.1,1.4,3.89,6.34,2.2,2.68,2.8,,7.4,1.2,13.9,14.95,6.55,5.85,1.9,5.1,6.68,4.1,3.7,4.9,5.5,0.9,12.1,,3,4.72,3.6,8.8,13.1,3.65,6.45,3.35,6.95,14.85,6.12,3,2.1,13.15,3.35,,,,
2018-05-01 00:00:00,11.2,4.2,8.1,7.1,2.7,7.6,,7.5,6.7,2.15,3.15,2.7,7.3,6.55,14.5,15.4,7.7,5.4,1.2,5.7,3.45,3.1,5.4,8.8,7.7,2.7,,,8.2,9.9,6.4,5.7,3.9,2.1,3.89,4.23,9.51,11.1,4.6,4.1,5.6,13.1,0.01,,,,
2018-08-01 00:00:00,6.6,6.9,1,9,4.5,1.8,7.9,5.7,2.7,0.5,0.5,0.01,6.6,0.01,12.4,14.5,3.4,4.1,1.4,4.5,2.7,0.7,1,0.01,4.4,0.01,,,5.5,7.6,6,1.9,13,0.01,0.5,1.1,6.4,10.1,4,1.6,1.8,4.1,0.01,,,,
2019-01-01 00:00:00,8.4,1.4,2.2,10.08,5.6,5.55,3.6,3.94,2.4,1.63,6.07,0.01,7.3,7.16,9.69,16.5,6.85,6.96,1.74,5.68,5.55,1.75,3.85,5.77,8.79,1.25,,5.88,8.17,7.0,6.83,7.6,11.0,1.03,2.7,3.25,8.0,10.5,4.0,4.28,6.13,15.25,1.4,,,,
